label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
rectangle,31,336,144,98,4.jpg,720,480
rectangle,47,37,137,99,5.jpg,720,480
rectangle,371,52,163,98,5.jpg,720,480
rectangle,428,286,119,75,5.jpg,720,480
rectangle,207,302,153,95,5.jpg,720,480
rectangle,167,55,125,75,6.jpg,720,480
rectangle,183,197,94,52,6.jpg,720,480
rectangle,386,189,73,48,6.jpg,720,480
rectangle,359,303,106,56,6.jpg,720,480
rectangle,187,308,93,46,6.jpg,720,480
rectangle,63,314,66,50,6.jpg,720,480
rectangle,163,54,129,76,7.jpg,720,480
rectangle,533,66,89,52,7.jpg,720,480
rectangle,536,169,80,51,7.jpg,720,480
rectangle,387,189,72,48,7.jpg,720,480
rectangle,181,198,97,51,7.jpg,720,480
rectangle,63,313,68,51,7.jpg,720,480
rectangle,189,306,93,48,7.jpg,720,480
rectangle,360,300,104,58,7.jpg,720,480
rectangle,542,260,69,47,7.jpg,720,480
rectangle,236,12,152,79,8.jpg,720,480
rectangle,139,127,289,68,8.jpg,720,480
rectangle,184,239,200,77,8.jpg,720,480
rectangle,462,242,209,83,8.jpg,720,480
rectangle,246,366,99,90,8.jpg,720,480
rectangle,51,124,127,100,9.jpg,720,480
rectangle,245,120,115,123,9.jpg,720,480
rectangle,435,126,128,127,9.jpg,720,480
rectangle,419,315,133,88,9.jpg,720,480
rectangle,101,215,372,189,20.jpg,1280,960
rectangle,727,210,407,199,20.jpg,1280,960
rectangle,133,498,349,127,20.jpg,1280,960
rectangle,73,149,386,194,22.jpg,1280,960
rectangle,720,137,399,204,22.jpg,1280,960
rectangle,99,451,367,127,22.jpg,1280,960
rectangle,269,539,329,149,23.jpg,960,1280
rectangle,171,343,581,142,23.jpg,960,1280
rectangle,627,866,185,118,23.jpg,960,1280
rectangle,91,937,274,87,23.jpg,960,1280
rectangle,73,120,285,247,24.jpg,1280,960
rectangle,771,87,240,411,24.jpg,1280,960
rectangle,647,651,341,194,24.jpg,1280,960
rectangle,176,92,366,181,25.jpg,1280,940
rectangle,838,96,216,141,25.jpg,1280,940
rectangle,176,533,350,152,25.jpg,1280,940
rectangle,38,67,432,195,26.jpg,1280,960
rectangle,821,72,321,165,26.jpg,1280,960
rectangle,226,467,342,177,26.jpg,1280,960
rectangle,275,28,214,135,27.jpg,1280,960
rectangle,273,180,214,152,27.jpg,1280,960
rectangle,714,90,122,509,27.jpg,1280,960
rectangle,946,346,182,109,27.jpg,1280,960
rectangle,951,491,164,90,27.jpg,1280,960
rectangle,273,366,212,120,27.jpg,1280,960
rectangle,273,531,207,125,27.jpg,1280,960
rectangle,98,544,130,124,27.jpg,1280,960
rectangle,84,723,382,154,27.jpg,1280,960
rectangle,56,53,503,212,28.jpg,1280,960
rectangle,874,179,337,150,28.jpg,1280,960
rectangle,106,589,783,217,28.jpg,1280,960
rectangle,150,27,156,132,29.jpg,720,480
rectangle,456,23,94,142,29.jpg,720,480
rectangle,167,285,147,96,29.jpg,720,480
rectangle,428,229,125,84,29.jpg,720,480
rectangle,141,68,311,130,12.jpg,1280,960
rectangle,627,78,307,119,12.jpg,1280,960
rectangle,133,326,322,132,12.jpg,1280,960
